yr,season,tod,Cover,herd,strength,ID
2018,winter,day,openMove,FOGO,0.7585534440439,FO2016005
2018,winter,day,openMove,FOGO,0.774806610667161,FO2016010
2018,winter,day,openMove,FOGO,1.0297089934374,FO2016012
2018,winter,day,openMove,FOGO,0.107358157237739,FO2016013
2018,winter,day,openMove,FOGO,0,FO2017001
2018,winter,day,openMove,FOGO,0.898100655356321,FO2017003
2018,winter,day,openMove,FOGO,0.149468800784515,FO2017004
2018,winter,day,openMove,FOGO,1.03934963001814,FO2017006
2018,winter,day,openMove,FOGO,1.05055753198626,FO2017007
2018,winter,day,openMove,FOGO,0.958205610776154,FO2017008
2018,winter,day,openMove,FOGO,0.864668562989069,FO2017009
2018,winter,day,openMove,FOGO,1.09169015947313,FO2017012
2018,winter,day,openMove,FOGO,0.728782048311762,FO2017014
2018,spring,night,openMove,FOGO,0,FO2016003
2018,spring,night,openMove,FOGO,0,FO2017001
2018,spring,night,openMove,FOGO,0,FO2017003
2018,spring,night,openMove,FOGO,0,FO2017004
2018,spring,night,openMove,FOGO,0,FO2017006
2018,spring,night,openMove,FOGO,0.267075472475665,FO2017007
2018,spring,night,openMove,FOGO,0.0967365967365967,FO2017008
2018,spring,night,openMove,FOGO,0.0782414307004471,FO2017009
2018,spring,night,openMove,FOGO,0.27124183006536,FO2017012
2018,spring,night,openMove,FOGO,0.176470588235294,FO2017014
2018,spring,day,openMove,FOGO,0,FO2016003
2018,spring,day,openMove,FOGO,0,FO2017001
2018,spring,day,openMove,FOGO,0,FO2017003
2018,spring,day,openMove,FOGO,0,FO2017004
2018,spring,day,openMove,FOGO,0,FO2017006
2018,spring,day,openMove,FOGO,0.251653260681543,FO2017007
2018,spring,day,openMove,FOGO,0.0338595287119652,FO2017008
2018,spring,day,openMove,FOGO,0.0202956989247312,FO2017009
2018,spring,day,openMove,FOGO,0.216422764227642,FO2017012
2018,spring,day,openMove,FOGO,0.226666666666667,FO2017014
2019,winter,night,openMove,FOGO,0.0951339764201501,FO2017001
2019,winter,night,openMove,FOGO,0,FO2017004
2019,winter,night,openMove,FOGO,0.0600858369098712,FO2017007
2019,winter,night,openMove,FOGO,0.149292499764341,FO2017008
2019,winter,night,openMove,FOGO,0.160825190010858,FO2017009
2019,winter,night,openMove,FOGO,0.0600858369098712,FO2017012
2019,winter,night,openMove,FOGO,0,FO2017014
2019,winter,day,openMove,FOGO,0.0608195568120959,FO2017001
2019,winter,day,openMove,FOGO,0.00578034682080925,FO2017004
2019,winter,day,openMove,FOGO,0.0355731225296443,FO2017007
2019,winter,day,openMove,FOGO,0.1,FO2017008
2019,winter,day,openMove,FOGO,0.0641301190821958,FO2017009
2019,winter,day,openMove,FOGO,0.0355731225296443,FO2017012
2019,winter,day,openMove,FOGO,0,FO2017014
2016,spring,day,Forest,FOGO,0,FO2016002
2016,spring,day,Forest,FOGO,0.00268817204301075,FO2016003
2016,spring,day,Forest,FOGO,0.00268817204301075,FO2016004
2016,spring,day,Forest,FOGO,0,FO2016005
2016,spring,day,Forest,FOGO,0,FO2016007
2016,spring,day,Forest,FOGO,0.00862068965517241,FO2016008
2016,spring,day,Forest,FOGO,0.00947867298578199,FO2016009
2016,spring,day,Forest,FOGO,0,FO2016010
2016,spring,day,Forest,FOGO,0,FO2016012
2016,spring,day,Forest,FOGO,0.00862068965517241,FO2016013
2016,spring,day,Forest,FOGO,0.00947867298578199,FO2016015
2016,spring,night,Forest,FOGO,0,FO2016002
2016,spring,night,Forest,FOGO,0,FO2016003
2016,spring,night,Forest,FOGO,0,FO2016004
2016,spring,night,Forest,FOGO,0,FO2016005
2016,spring,night,Forest,FOGO,0,FO2016007
2016,spring,night,Forest,FOGO,0.0053475935828877,FO2016008
2016,spring,night,Forest,FOGO,0.0158730158730159,FO2016009
2016,spring,night,Forest,FOGO,0,FO2016010
2016,spring,night,Forest,FOGO,0,FO2016012
2016,spring,night,Forest,FOGO,0.0053475935828877,FO2016013
2016,spring,night,Forest,FOGO,0.0158730158730159,FO2016015
2017,winter,day,Forest,FOGO,0.349887387387387,FO2016002
2017,winter,day,Forest,FOGO,0.358150921658986,FO2016003
2017,winter,day,Forest,FOGO,0.390593992610122,FO2016004
2017,winter,day,Forest,FOGO,0.57967032967033,FO2016005
2017,winter,day,Forest,FOGO,0.575806451612903,FO2016008
2017,winter,day,Forest,FOGO,0.70206797235023,FO2016010
2017,winter,day,Forest,FOGO,0.641098901098901,FO2016012
2017,winter,day,Forest,FOGO,0,FO2016013
2017,spring,day,Forest,FOGO,0.199257377673169,FO2016002
2017,spring,day,Forest,FOGO,0,FO2016003
2017,spring,day,Forest,FOGO,0,FO2016004
2017,spring,day,Forest,FOGO,0.0164319248826291,FO2016005
2017,spring,day,Forest,FOGO,0.0853121750734454,FO2016008
2017,spring,day,Forest,FOGO,0.0921052631578947,FO2016010
2017,spring,day,Forest,FOGO,0,FO2016012
2017,spring,day,Forest,FOGO,0.0478744371005208,FO2016013
2017,spring,day,Forest,FOGO,0.00220264317180617,FO2017001
2017,spring,day,Forest,FOGO,0.0731070496083551,FO2017003
2017,spring,day,Forest,FOGO,0.00487804878048781,FO2017004
2017,spring,day,Forest,FOGO,0.0592811452127655,FO2017006
2017,spring,day,Forest,FOGO,0.0755520373834162,FO2017007
2017,spring,day,Forest,FOGO,0.145770320474423,FO2017008
2017,spring,day,Forest,FOGO,0.257118147315216,FO2017009
2017,spring,day,Forest,FOGO,0.0921052631578947,FO2017011
2017,spring,day,Forest,FOGO,0.169741697416974,FO2017012
2017,spring,day,Forest,FOGO,0.174619746197462,FO2017014
2017,spring,night,Forest,FOGO,0.176730143410421,FO2016002
2017,spring,night,Forest,FOGO,0,FO2016003
2017,spring,night,Forest,FOGO,0,FO2016004
2017,spring,night,Forest,FOGO,0.0159372628383506,FO2016005
2017,spring,night,Forest,FOGO,0.107230255839822,FO2016008
2017,spring,night,Forest,FOGO,0.04,FO2016010
2017,spring,night,Forest,FOGO,0,FO2016012
2017,spring,night,Forest,FOGO,0.0396825396825397,FO2016013
2017,spring,night,Forest,FOGO,0,FO2017001
2017,spring,night,Forest,FOGO,0.0840336134453782,FO2017003
2017,spring,night,Forest,FOGO,0.00740740740740741,FO2017004
2017,spring,night,Forest,FOGO,0.0471452262497039,FO2017006
2017,spring,night,Forest,FOGO,0.0840336134453782,FO2017007
2017,spring,night,Forest,FOGO,0.0960925039872408,FO2017008
2017,spring,night,Forest,FOGO,0.229124261986262,FO2017009
2017,spring,night,Forest,FOGO,0.04,FO2017011
2017,spring,night,Forest,FOGO,0.157894736842105,FO2017012
2017,spring,night,Forest,FOGO,0.173776720520699,FO2017014
2018,winter,day,Forest,FOGO,0.223376697281755,FO2016002
2018,winter,day,Forest,FOGO,0.389808467157473,FO2016004
2018,winter,day,Forest,FOGO,0.612679364217002,FO2016005
2018,winter,day,Forest,FOGO,0.170144248290351,FO2016010
2018,winter,day,Forest,FOGO,1.17577702696561,FO2016012
2018,winter,day,Forest,FOGO,0.172161887915313,FO2016013
2018,winter,day,Forest,FOGO,0,FO2017001
2018,winter,day,Forest,FOGO,0.661777247557064,FO2017003
2018,winter,day,Forest,FOGO,0.158528276175335,FO2017004
2018,winter,day,Forest,FOGO,0.743084943975421,FO2017006
2018,winter,day,Forest,FOGO,1.12783022172278,FO2017007
2018,winter,day,Forest,FOGO,1.06684834446675,FO2017008
2018,winter,day,Forest,FOGO,0.327319745863365,FO2017009
2018,winter,day,Forest,FOGO,0.930954300896476,FO2017012
2018,winter,day,Forest,FOGO,0.519787955158557,FO2017014
2018,spring,night,Forest,FOGO,0,FO2016003
2018,spring,night,Forest,FOGO,0,FO2017001
2018,spring,night,Forest,FOGO,0,FO2017003
2018,spring,night,Forest,FOGO,0,FO2017004
2018,spring,night,Forest,FOGO,0.00495049504950495,FO2017006
2018,spring,night,Forest,FOGO,0.20662332203983,FO2017007
2018,spring,night,Forest,FOGO,0.0416395810762008,FO2017008
2018,spring,night,Forest,FOGO,0.0318327423139178,FO2017009
2018,spring,night,Forest,FOGO,0.166690290574061,FO2017012
2018,spring,night,Forest,FOGO,0.181111542945977,FO2017014
2018,spring,day,Forest,FOGO,0,FO2016003
2018,spring,day,Forest,FOGO,0,FO2017001
2018,spring,day,Forest,FOGO,0,FO2017003
2018,spring,day,Forest,FOGO,0,FO2017004
2018,spring,day,Forest,FOGO,0,FO2017006
2018,spring,day,Forest,FOGO,0.218509357454722,FO2017007
2018,spring,day,Forest,FOGO,0.0370669587840613,FO2017008
